x,China,Japan,US,UK,Russia
1928,15212,9748,34340,18401,10737
1929,15444,10294,35318,18379,12136
1930,15688,10871,36326,18347,13716
1931,15915,11481,36360,18316,15503
1932,16208,12493,36424,18285,17523
1933,16340,13594,36518,18264,19806
1934,16762,14793,36644,18237,22385
1935,17308,16098,36843,18199,25301
1936,17890,17518,36995,18143,28597
1937,18408,19062,37229,18285,32322
1938,19066,19943,37463,18350,36532
1939,19770,20540,37772,18429,35124
1940,20552,20980,37988,18502,33978
