x,China,Japan,UK,Russia,U.S.A.
1945,0.093496,0.0528761,0.0879904,0.1182072,0.3838635
1946,0.1327105,0.029541,0.1161727,0.1225411,0.3639884
1947,0.1192198,0.0302281,0.0912182,0.1452174,0.3099419
1948,0.1150552,0.0310522,0.075426,0.1639996,0.2946597
1949,0.1040504,0.0299872,0.0707876,0.1679179,0.2731664
1950,0.1184953,0.0314819,0.0613487,0.1805985,0.284443
1951,0.1036244,0.0328617,0.0585345,0.1731629,0.3194995
1952,0.096398,0.03327,0.0575083,0.1701986,0.3113674
1953,0.0951003,0.0347292,0.0560323,0.1731209,0.3111584
1954,0.0943573,0.0363349,0.0565141,0.1845277,0.2809401
1955,0.0913439,0.0393312,0.0505929,0.1791656,0.2664225
1956,0.0981378,0.0383743,0.0492237,0.1701965,0.2606138
1957,0.0995304,0.0396311,0.0473189,0.1672666,0.2550486
1958,0.1084182,0.0415539,0.0452031,0.1709534,0.23447
1959,0.1169668,0.0411275,0.0420319,0.1712012,0.2289647
1960,0.1192724,0.0431978,0.0423343,0.17179,0.2154438
1961,0.1049435,0.0481203,0.0400909,0.173759,0.2106549
1962,0.103609,0.0492219,0.0376892,0.1763372,0.2099114
1963,0.1071027,0.0523323,0.0371322,0.17128,0.2079665
1964,0.1100296,0.053323,0.0368837,0.1674936,0.2029826
1965,0.1088898,0.0530941,0.0370771,0.164547,0.2015391
1966,0.1096543,0.0533882,0.0353643,0.1663164,0.2086695
1967,0.1055841,0.0580925,0.0327035,0.1667414,0.2085481
1968,0.1044135,0.0567954,0.0313586,0.1699854,0.2039257
1969,0.1064858,0.0551059,0.0301955,0.1694391,0.1975469
1970,0.1117451,0.0546266,0.0294795,0.1729228,0.1798439
1971,0.1130078,0.053387,0.0284799,0.1740189,0.1688821
1972,0.1119784,0.0519483,0.0279088,0.1723767,0.1632864
1973,0.1124634,0.0532976,0.0270787,0.1688813,0.1571975
1974,0.1159456,0.0530616,0.0280416,0.1690666,0.1513209
1975,0.1175955,0.0509488,0.0275817,0.1761488,0.1425023
1976,0.1165816,0.0517904,0.0269635,0.1776369,0.1408845
1977,0.1171414,0.050121,0.0258769,0.1751403,0.1401722
1978,0.1196588,0.0565494,0.0256199,0.172273,0.1381623
1979,0.1185344,0.0558081,0.0263579,0.1688081,0.1356744
1980,0.1181877,0.0546753,0.02491,0.1700272,0.1317046
1981,0.1185188,0.0538491,0.0248329,0.1708661,0.1365281
1982,0.1173135,0.0543984,0.0234384,0.1726654,0.1281606
1983,0.1174321,0.0563449,0.0233773,0.1732883,0.131504
1984,0.1114249,0.0557047,0.0222895,0.164892,0.1313398
1985,0.108719,0.059807,0.0230371,0.170436,0.1332526
1986,0.1088638,0.0583034,0.0234791,0.1692345,0.1320948
1987,0.1064507,0.0594964,0.0247009,0.1676731,0.1312786
1988,0.1075262,0.059398,0.024348,0.165073,0.1327556
1989,0.1091272,0.0593277,0.0254856,0.1312931,0.1466928
1990,0.1059285,0.0571329,0.0252901,0.1238611,0.139376
1991,0.1123959,0.056093,0.0264498,0.097295,0.1355988
1992,0.117286,0.0533332,0.0274765,0.0652206,0.1460814
1993,0.1249838,0.052918,0.025656,0.0560256,0.1527098
1994,0.1301491,0.054506,0.0247788,0.0651541,0.1448253
1995,0.1355899,0.0515532,0.0235146,0.0610809,0.1406412
1996,0.1391148,0.0512179,0.0238164,0.0569312,0.1383393
1997,0.1420133,0.0490876,0.0236465,0.0539653,0.13966
1998,0.1471962,0.0473287,0.0238024,0.0492318,0.1417342
1999,0.1506723,0.0462466,0.0225393,0.0494669,0.1428883
2000,0.1557135,0.0441285,0.0220596,0.0495242,0.1429513
2001,0.1585387,0.0426745,0.021316,0.0514135,0.1420117
2002,0.1673592,,0.0210077,0.0475632,0.1434598
2003,0.1692473,,0.0205742,0.0472978,0.1420938
2004,0.1825703,,0.0211505,0.0454591,0.1431688
2005,0.1839221,,0.0219773,0.0390802,0.1482896
2006,0.1902642,,0.0218718,0.0393349,0.1463773
2007,0.1985779,,0.0211575,0.0392739,0.1421487
